Fare,Pclass,Age,Id,Survived,Sex
86.5,1,33,760,1,1
26,2,34,100,0,0
7.75,3,29,511,1,0
26,2,29,134,1,1
15.7417,3,20,623,1,0
13,2,42,289,1,0
6.2375,3,61,327,0,0
7.8958,3,28,43,0,0
30,1,28,741,1,0
13,2,30,214,0,0
27.9,3,9,635,0,1
9.825,3,20,114,0,1
53.1,1,35,4,1,1
26.55,1,28,508,1,0
90,1,38,225,1,0
106.425,1,50,545,0,0
26.55,1,35,605,1,0
0,2,28,467,0,0
69.55,3,28,864,0,1
7.75,3,16,209,1,1
14.4583,3,28,496,0,0
13,2,38,358,0,1
7.775,3,31,806,0,0
23,2,54,775,1,1
7.225,3,25,694,0,0
65,2,48,755,1,1
7.75,3,28,48,1,1
7.4958,3,24,515,0,0
7.925,3,20,665,1,0
23,2,4,751,1,1
8.6625,3,28,159,0,0
30.5,1,55,493,0,0
14.5,2,0.67,756,1,0
7.225,3,22,554,1,0
31.275,3,6,814,0,1
52,1,47,111,0,0
38.5,1,47,463,0,0
12.475,3,30,80,1,1
26.55,1,58,12,1,1
8.3,3,18,835,0,0
9.5,3,33,753,0,0
7.7958,3,21,392,1,0
26,2,2,531,1,1
89.1042,1,28,850,1,1
12.875,2,36,293,0,0
13,2,52,715,0,0
56.4958,3,32,75,1,0
29.125,3,7,279,0,0
7.2292,3,28,525,0,0
7.775,3,28,668,0,0
22.3583,3,28,129,1,1
263,1,19,28,0,0
26,2,36,519,1,1
7.8958,3,33,882,0,0
7.65,3,19,716,0,0
110.883,1,39,582,1,1
7.8542,3,18,176,0,0
20.525,3,33,549,0,0
15.85,3,24,143,1,1
106.425,1,30,538,1,1
26.3875,1,36,573,1,0
52,1,28,476,0,0
8.05,3,19,373,0,0
32.3208,1,61,626,0,0
73.5,2,21,121,0,0
56.4958,3,28,827,0,0
13,2,36,328,1,1
12.35,2,57,627,0,0
21.075,3,2,8,0,0
39,2,1,184,1,0
41.5792,2,3,44,1,1
11.1333,3,27,9,1,1
25.4667,3,28,486,0,1
211.5,1,27,378,0,0
13,2,28,444,1,1
9,3,22,81,0,0
10.5,2,23,399,0,0
46.9,3,16,72,0,1
9.825,3,21,403,0,1
151.55,1,2,298,0,1
61.3792,1,51,156,0,0
26.55,1,60,695,0,0
26,2,19,547,1,1
52.5542,1,42,622,1,0
8.6625,3,42,350,0,0
26.25,2,31,638,0,0
24.15,3,30,800,0,1
47.1,1,28,84,0,0
6.4375,3,34.5,844,0,0
9.5,3,29,82,1,0
8.05,3,35,615,0,0
12.475,3,27,824,1,1
227.525,1,38,717,1,1
6.4958,3,34,203,0,0
7.75,3,28,594,0,1
26.2833,1,19,137,1,1
52,1,48,713,1,0
7.8958,3,38,109,0,0
9.5,3,24,771,0,0
9.225,3,23,351,0,0
133.65,1,50,661,1,0
7.55,3,23,650,1,1
39.6,1,48,557,1,1
55.4417,1,25,371,1,0
24.15,3,28,518,0,0
7.925,3,17,69,1,1
22.025,3,4,185,1,1
16.1,3,28.5,736,0,0
18.7875,3,11,732,0,0
7.225,3,28,523,0,0
24.15,3,39,812,0,0
77.2875,1,54,125,0,0
221.779,1,28,528,0,0
146.521,1,28,32,1,1
27.75,1,30,453,0,0
135.633,1,36,326,1,1
15.5,3,28,242,1,1
57.9792,1,16,330,1,1
14.4542,3,18,703,0,1
9.8458,3,20,877,0,0
7.925,3,21,174,0,0
26.55,1,48,461,1,0
0,2,28,414,0,0
49.5042,1,24,711,1,1
90,1,33,413,1,1
7.925,3,25,730,0,1
21,2,35,212,1,1
35.5,1,56,648,1,0
12,2,17,390,1,1
7.2292,3,28,368,1,1
8.05,3,18,205,1,0
0,1,39,807,0,0
7.2292,3,20,763,1,0
263,1,64,439,0,0
9.5875,3,63,484,1,1
7.775,3,74,852,0,0
14.4,3,28,424,0,1
12.475,3,6,752,1,0
86.5,1,16,505,1,1
79.2,1,60,588,1,0
29,2,22,324,1,1
7.05,3,20,132,0,0
21.075,3,8,25,0,1
23,2,18,652,1,1
73.5,2,32,666,0,0
7.8542,3,48,772,0,0
69.3,1,24,642,1,1
19.2583,3,24,859,1,1
16.7,3,4,11,1,1
8.6625,3,17,164,0,0
26,2,44,855,0,1
20.525,3,9,166,1,0
7.55,3,42,846,0,0
11.2417,3,12,126,1,0
7.7875,3,28,83,1,1
33,2,6,721,1,1
13.7917,2,23,474,1,1
7.7958,3,28,757,0,0
10.5,2,35,813,0,0
20.575,3,26,94,0,0
86.5,1,30,258,1,1
31,1,40,210,1,0
7.925,3,39,401,1,0
56.4958,3,26,510,1,0
7.8542,3,19,193,1,1
13,2,31,674,1,0
8.05,3,34,462,0,0
7.875,3,29,423,0,0
8.05,3,28,465,0,0
30.6958,1,28,794,0,0
7.75,3,18,776,0,0
7.2292,3,13,781,1,1
7.775,3,25,443,0,0
120,1,36,764,1,1
17.8,3,25,354,0,0
8.05,3,51,223,0,0
7.125,3,35,591,0,0
56.4958,3,32,839,1,0
90,1,44,246,0,0
8.05,3,20,13,0,0
512.329,1,35,738,1,0
26,2,19,428,1,1
7.75,3,45,277,0,1
77.2875,1,21,103,0,0
26.2875,1,36,513,1,0
7.7958,3,24,500,0,0
26.25,2,45,441,1,1
14.4542,3,27,621,0,0
8.6625,3,30,535,0,1
46.9,3,43,679,0,1
77.9583,1,21,628,1,1
78.2667,1,54,497,1,1
13.4167,3,4,692,1,1
39,2,40,671,1,1
7.75,3,32,891,0,0
26,2,46,398,0,0
7.75,3,22,290,1,1
28.7125,1,50,178,0,1
8.05,3,32,430,1,0
7.8958,3,19,647,0,0
26.55,1,51,858,1,0
91.0792,1,25,485,1,0
7.75,3,65,281,0,0
35.5,1,28,56,1,0
7.925,3,23,817,0,1
26,2,29,54,1,1
21,2,30,727,1,1
17.4,3,36,560,1,1
52.5542,1,37,249,1,0
11.1333,3,1,173,1,1
30,1,26,890,1,0
39.6875,3,1,165,0,0
7.75,3,40.5,526,0,0
20.525,3,31,329,1,1
26.25,2,31,802,1,1
51.4792,1,53,572,1,1
18.75,2,0.83,832,1,0
15.85,3,32,207,0,0
9.5,3,30,287,1,0
7.8542,3,26,316,1,1
80,1,38,62,1,1
15.2458,3,28,66,1,0
57.9792,1,44,524,1,1
113.275,1,23,394,1,1
65,2,24,616,1,1
27.7208,1,28,296,0,0
12.35,2,28,304,1,1
263,1,24,342,1,1
27.7208,1,44,195,1,1
0,2,28,278,0,0
13,2,36,345,0,0
31.275,3,11,543,0,1
75.25,1,60,367,1,1
13,2,36,388,1,1
164.867,1,45,857,1,1
6.75,3,18,655,0,1
262.375,1,18,312,1,1
7.25,3,59,95,0,0
12.2875,3,2,480,1,1
8.7125,3,28,585,0,0
10.1708,3,19,688,0,0
135.633,1,35,270,1,1
50,1,28,186,0,0
30.6958,1,56,175,0,0
8.05,3,21,38,0,0
39,2,4,619,1,1
27,2,24,601,1,1
46.9,3,9,481,0,0
7.775,3,25,268,1,0
23.45,3,28,889,0,1
8.5167,3,0.42,804,1,0
19.2583,3,0.75,470,1,1
7.5208,3,22,479,0,0
76.2917,1,32,219,1,1
8.6625,3,20,405,0,1
7.8792,3,28,359,1,1
16.1,3,28,432,1,1
31.3875,3,5,234,1,1
7.25,3,25,786,0,0
146.521,1,58,196,1,1
11.5,2,18,758,0,0
13,2,32.5,124,1,1
13,2,42,150,0,0
89.1042,1,49,454,1,0
29,2,0.83,79,1,0
7.75,3,28,574,1,1
108.9,1,17,308,1,1
13,2,23,659,0,0
93.5,1,30,521,1,1
78.2667,1,52,592,1,1
26,2,25,881,1,1
7.8958,3,28,77,0,0
16.1,3,28,640,0,0
83.1583,1,24,311,1,1
6.975,3,27,805,1,0
7.125,3,41,762,0,0
12.65,2,28,400,1,1
83.1583,1,56,880,1,1
7.65,3,21,107,1,1
24.15,3,28,110,1,1
7.75,3,70.5,117,0,0
7.7333,3,16,157,1,1
512.329,1,35,259,1,1
13,2,42,866,1,1
7.75,3,30.5,768,0,1
30.5,1,27,608,1,0
7.8542,3,20,92,0,0
20.25,3,35,280,1,1
26.55,1,34,448,1,0
7.75,3,28,614,0,0
71.2833,1,38,2,1,1
8.6542,3,33,104,0,0
7.75,3,28,33,1,1
16.7,3,24,395,1,1
8.6625,3,21,837,0,0
10.5,2,36,266,0,0
15.2458,3,29,256,1,1
39.6,1,28,767,0,0
15.85,3,28,404,0,0
24.15,3,24,566,0,0
7.225,3,28,27,0,0
31.275,3,9,542,0,1
7.8792,3,28,29,1,1
26.55,1,65,457,0,0
15.55,3,36,606,0,0
7.2292,3,22,61,0,0
7.75,3,28,777,0,0
52,1,35,384,1,1
7.1417,3,24,128,1,0
7.75,3,51,407,0,0
69.55,3,28,325,0,0
7.925,3,32,580,1,0
36.75,2,8,550,1,0
19.2583,3,5,449,1,1
9.35,3,22,226,0,0
22.525,3,28,509,0,0
13,2,28,343,0,0
22.3583,3,28,534,1,1
16.1,3,24,744,0,0
13,2,30,419,0,0
153.463,1,58,269,1,1
153.463,1,38,333,0,0
7.8542,3,31,397,0,1
14.4,3,34,617,0,0
8.3625,3,32,770,0,0
26.55,1,28,431,1,0
14.5,3,47,133,0,1
8.05,3,28,88,0,0
55,1,22,357,1,1
7.8875,3,26,811,0,0
77.9583,1,51,766,1,1
7.8958,3,28,602,0,0
7.225,3,28,20,1,1
